Date,Close
"September 1, 2019",33
"October 1, 2019",27.5
"November 1, 2019",27.75
"December 1, 2019",25
"January 1, 2020",21.7
"February 1, 2020",18
"March 1, 2020",15.4
"April 1, 2020",21.6
"May 1, 2020",24.9
"June 1, 2020",23
"July 1, 2020",22.4
"August 1, 2020",27.25
"September 1, 2020",22.5
"October 1, 2020",19.7
"November 1, 2020",24.3
"December 1, 2020",23.7
"January 1, 2021",24.7
"February 1, 2021",33.25
"March 1, 2021",36.5
"April 1, 2021",31.75
"May 1, 2021",33.25
"June 1, 2021",33
"July 1, 2021",28.5
"August 1, 2021",33.25
"September 1, 2021",34.25
"October 1, 2021",36
"November 1, 2021",30.75
"December 1, 2021",31.25
"January 1, 2022",35
"February 1, 2022",34.5
"March 1, 2022",40.25
"April 1, 2022",46.5
"May 1, 2022",42
"June 1, 2022",44
"July 1, 2022",42
"August 1, 2022",42.75
"September 1, 2022",49
"October 1, 2022",50.75
"November 1, 2022",49.5
"December 1, 2022",50.25
"January 1, 2023",52
"February 1, 2023",56.5
"March 1, 2023",56
"April 1, 2023",54.75
"May 1, 2023",50.25
"June 1, 2023",49.5
"July 1, 2023",47.25
"August 1, 2023",47.75
"September 1, 2023",47
